PRIMARY ID,BREED,COLOR OF DOG,,,,,,,,
47071279,Pit,None,,,,,,,,
47071281,Pit,None,,,,,,,,
47071280,Papillon,None,,,,,,,,
47071278,Labrador,None,,,,,,,,
47071263,Havanese,None,,,,,,,,
47071264,Pomeranian,None,,,,,,,,
47071262,Catahoula,None,,,,,,,,
47071245,Labrador,None,,,,,,,,
47071256,Chihuahua,None,,,,,,,,
47071259,Chihuahua,None,,,,,,,,
47071260,Terrier,None,,,,,,,,
47071257,Dachshund,None,,,,,,,,
47071258,Chihuahua,None,,,,,,,,
47071261,Chihuahua,None,,,,,,,,
47071251,Chihuahua,None,,,,,,,,
47071249,Chihuahua,None,,,,,,,,
47071250,Terrier,None,,,,,,,,
47071243,Labrador,None,,,,,,,,
47071248,Chihuahua,None,,,,,,,,
47071255,Chihuahua,None,,,,,,,,
47071254,Dachshund,None,,,,,,,,
47071253,Chihuahua,None,,,,,,,,
47071247,Chihuahua,None,,,,,,,,
47071252,Chihuahua,None,,,,,,,,
47071242,Mixed,None,,,,,,,,
47071236,German,None,,,,,,,,
47071237,Labrador,None,,,,,,,,
47071238,German,None,,,,,,,,
47071240,Labrador,None,,,,,,,,
47071235,Schnauzer,None,,,,,,,,
47071239,American,None,,,,,,,,
47071232,Labrador,None,,,,,,,,
47071234,Pit,None,,,,,,,,
47071227,Labrador,None,,,,,,,,
47071233,Pointer,None,,,,,,,,
47071231,Labrador,None,,,,,,,,
47071229,Labrador,None,,,,,,,,
47071228,Labrador,None,,,,,,,,
47071230,Labrador,None,,,,,,,,
47071223,Beagle,None,,,,,,,,
47071222,Chihuahua,None,,,,,,,,
47071220,Siberian,None,,,,,,,,
47071214,Doberman,None,,,,,,,,
47071215,Labrador,None,,,,,,,,
47071213,German,None,,,,,,,,
47071216,Foxhound,None,,,,,,,,
47071212,Mixed,None,,,,,,,,
47071209,German,None,,,,,,,,
47071206,Pit,None,,,,,,,,
47071208,Pit,None,,,,,,,,
47071204,Chihuahua,None,,,,,,,,
47071205,Pit,None,,,,,,,,
47071193,Chihuahua,None,,,,,,,,
47071189,Mixed,None,,,,,,,,
47071190,Mixed,None,,,,,,,,
47071201,German,None,,,,,,,,
47071200,Chihuahua,None,,,,,,,,
47071202,Labrador,None,,,,,,,,
47071203,Pit,None,,,,,,,,
47071143,Husky,Apricot,,,,,,,,
47071182,Mixed,None,,,,,,,,
47071180,Husky,None,,,,,,,,
47071184,Mixed,None,,,,,,,,
47071185,Mixed,None,,,,,,,,
47071164,Labrador,None,,,,,,,,
47071159,Chihuahua,None,,,,,,,,
47071131,American,Brown,,,,,,,,
47070583,Labrador,Brown,,,,,,,,
47071128,Shih,White,,,,,,,,
47071130,Golden,Golden,,,,,,,,
47071144,Schnauzer,Apricot,,,,,,,,
47070632,American,Bicolor,,,,,,,,
47071155,Yorkshire,None,,,,,,,,
47071153,Hound,None,,,,,,,,
47071140,Shih,Black,,,,,,,,
47071150,Great,None,,,,,,,,
47071149,Siberian,None,,,,,,,,
47071136,Labrador,Black,,,,,,,,
47071135,Australian,Brown,,,,,,,,
47071138,American,None,,,,,,,,
47071127,Labrador,Black,,,,,,,,
47071134,Dachshund,None,,,,,,,,
47070631,Shar-Pei,Apricot,,,,,,,,
47071132,Terrier,None,,,,,,,,
47070585,American,Brindle,,,,,,,,
47070980,Australian,Black,,,,,,,,
47071120,Terrier,Black,,,,,,,,
47070645,Coonhound,None,,,,,,,,
47070639,Hound,White,,,,,,,,
47071055,Canaan,None,,,,,,,,
47071124,American,None,,,,,,,,
47070747,German,Bicolor,,,,,,,,
47071123,German,None,,,,,,,,
47071109,Labrador,Apricot,,,,,,,,
47071043,Labrador,Golden,,,,,,,,
47071104,Pit,None,,,,,,,,
47071100,Mastiff,None,,,,,,,,
47071095,Husky,None,,,,,,,,
47071098,Husky,None,,,,,,,,
47071096,Pit,None,,,,,,,,
47071085,Labrador,None,,,,,,,,
47071093,Labrador,None,,,,,,,,
47071094,Husky,None,,,,,,,,
47071081,Husky,None,,,,,,,,
47071083,Labrador,None,,,,,,,,
47071079,Husky,None,,,,,,,,
47071071,Chihuahua,None,,,,,,,,
47071087,Great,None,,,,,,,,
47071088,Shepherd,None,,,,,,,,
47071074,Labrador,None,,,,,,,,
47071060,Boxer,None,,,,,,,,
47071073,Labrador,None,,,,,,,,
47071089,Labrador,None,,,,,,,,
47071075,Pit,None,,,,,,,,
47071086,Labrador,None,,,,,,,,
47071069,Hound,None,,,,,,,,
